ｃ,名前,,立ち絵,,SE,BGM,
1,―, ,なし,背景８,,雲の隙間,
2,星見心の声,私は天才である。,,一枚絵１,,,
2,星見心の声,少なくとも、この教室にいる皆はそう思っていることだろう。,,,,,
3,星見,「ふぁ……あ……」,,,,,
4,進藤,「星見さん、随分と眠そうだね」,,,,,
4,星見,「そりゃ、この程度の授業じゃねー。眠くもなるわよ」,,,,,
4,進藤,「わーお、全国模試で名前が出ただけはある」,,,,,
4,星見,「あら、知ってたの？」,,,,,
5,進藤,「先生方も騒いでたもの。この学校始まって以来のことだーって」,,,,,
5,星見,「１位を獲ったならまだしも、二桁順位で騒がれてもねぇ。あのくらい、誰だって獲れるわよ」,,,,,
5,進藤,「おおぅ……これが、持つものの傲慢さか」,,,,,
6,星見心の声,――誰だって獲れる？,,,,,
6,星見心の声,いやいや、そんなわけはない。,,,,,
6,星見心の声,私は家で毎日８時間は勉強している。,,,,,
6,星見心の声,寝る間も惜しんでそこまでやって、ようやく全国模試で名前が載るところまで来れたのだ。,,,,,
6,星見心の声,何の努力もせずボサッと星見彼女たちでは、到底無理なこと。,,,,,
7,星見心の声,でも、そんなことは言わない。,,,,,
7,星見心の声,学校では怠惰にしているのに、さらっと好成績を獲る。,,,,,
7,星見心の声,格好良い天才,,,,,
7,星見心の声,崇められる対象,,,,,
7,星見心の声,羨望の的,,,,,
7,星見心の声,それが星見ソラ。,,,,,
7,星見心の声,私は、自分をそう定義したのである。,,,,,
8,進藤,「ねえ、星見さん、それならさ――」,,,,,
8,進藤,「――彼女でも、成績上がるのかな？」,,,,,
0,―,FADEOUT,,,,,SLOW
1,―,DISPLAYTITLE,,,,,FIRST
2,―,FADEOUT,,,,,SLOW
0,―,FADEIN,,背景８,,,0
2,―,WAIT,,,,,0.5
10,先生,「暮六！　また寝てるのか、お前は！」,,,,カフェオレオレオ,
10,暮六,「ひゃうっ！？　お、起きてます起きてます！」,立ち絵12,,,,
11,先生,「そうか。じゃあ、問３の答えは？」,,,,,
11,暮六,「は、はい。えーと……」,立ち絵18,,,,
12,暮六,「……」,立ち絵６,,,,
