レス,名前,セリフ,立ち絵,背景,SE,BGM、BGS,備考
1,―,FADEIN,,,,,0
2,星野心の声,私は天才である。,,リビング,,HIRAHIRA,
2,星野心の声,少なくとも、同じクラスにいる皆はそう思っていることだろう。,,,,,
3,星野,「ううむ……」,,,,,
4,星野心の声,台所に座すダンボール箱を見て、私は唸った。,,,,,
4,星野,「ちょ、ちょっと……買いすぎたかな……？」,,,,,
5,星野心の声,――ちょっと買いすぎた？,,,嘆き,,
5,星野心の声,\nいやいや、そんなレベルではない。,,,,,
5,星野心の声,ダンボール箱は私が抱きしめても手が届かないほどの大きさ。,,,,,
5,星野心の声,中に詰め込まれていたチョコレートの量は私の年間消費量を優に超えているのだ。,,,,,
5,星野心の声,何の計算もせずポチッと買っていいような量では、到底ないもの。,,,,,
6,星野心の声,正直後悔している。,,,,,
6,星野心の声,凄く後悔している。,,,,,
6,星野心の声,こんな量、どうやって始末をつければいいのか見当も付かない。,,,,,
7,ニュースキャスター,「食品ロスの問題が叫ばれる中、『チョコレートの大きさが親愛度の大きさを示す』という昨今の流行りはよいとはいえないのではないでしょうか？」,,,テレビつける,,
7,ニュースキャスター,「私もアナウンサーである前に女性ですから、バレンタインは気になるイベントですけど、良が増えればお財布を直撃しますし……チョコレートの大きさが気持ちの大きさではないと思います」,,,,,
8,星野心の声,おい、ニュースキャスターども。,,,,,
8,星野心の声,私は覚えているぞ、お前らが先週まで「チョコの大きさで気持ちの大きさを示さないと時代遅れ！」「バレンタインはチョコサイズがすべて！」ってほざいてたのを。,,,,,
9,星野心の声,腹立たしいテレビを乱暴に消して、私は天井を仰いだ。,,,"テレビ消す、BGS削除",,
10,星野,「はーぁ……」,,,,,
11,星野,「……」,,,,,
12,星野心の声,チラリ。私はそれを見た。,,,,,
13,星野心の声,部屋の隅に転がる――アホそのもののサイズで出来上がったチョコレートがそこにはあった。,,,,,
14,星野,「……私、アホなのかなぁ？」,,,,,
15,星野心の声,\n多分、クラスメイトはまだ私を天才だと思い込んでいる。,,,,,
1,―,DISPLAYTITLE,,,,,START
1,―,FADEIN,,進藤の家,,,START
17,進藤,「いや、それを相談して私にどうしろと？」,,,,カフェオレオレオ,
17,星野,「このギガントチョコ食べない？」,,,,,
17,進藤,「食べるわけないでしょ」,,,,,
17,星野,「やっぱり？」,,,,,
18,進藤,「というか、あんたね？　無警戒に私の家を訪ねるんじゃないわよ。何かあったらどうすんのよ？」,,,,,
0,―,FADEOUT,,,,,
1,―,WAIT,,一枚絵12,,,0
2,―,WAIT,,DIM,,,0
3,―,FADEIN,,,,VOLUME,0.5
19,星野心の声,進藤。,,,,,
19,星野心の声,去年に彼女が起こした事件はもちろん忘れていない。,,,,,
19,星野心の声,あわやキズモノにされてしまうところだったのだ。忘れようがない。,,,,,
20,星野心の声,だが、正気を取り戻した彼女は真摯だった。,,,,,
20,進藤,『ごめんなさい！　私はどうかしていたわ！　許されないことをしてしまったのはわかっているの！　何でも従うから私をどうとでもしてちょうだい！』,,,,,
20,星野心の声,恥も外聞もかなぐり捨てて、彼女は私に何度も何度も謝った。,,,,,
20,星野心の声,そうして彼女は幾度も罰を求めたが、求めたのは罰だけで決して許されようとはしなかった。,,,,,
20,星野心の声,だから、私は彼女を信用し、許すことにしたのだ。,,,,,
1,―,FADEOUT,,,,,
1,―,WAIT,,RETURN,,,0
2,―,FADEIN,,進藤の家,,,0
21,進藤,「ねえ、ちょっと！　星野！　聞いてるの？」,,進藤の家,,VOLUME,1
21,星野,「聞いてる聞いてる。出会い方が違ったら私たちもっとすんなりいい友人になってたなーと思ってただけよ」,,,,,
22,進藤,「そ、そう……？」,,,,,
23,進藤,「あ……いや、違うっ！　私は自分より勉強できる友人なんて真っ平ごめんよっ！　ふんっ！」,,,,,
23,星野,「えー。友達になろうよー」,,,,,
23,進藤,「嫌よ。ぜーったい嫌！」,,,,,
23,星野,「あはは」,,,,,
24,星野心の声,こうして家に上げて相談に乗ってくれる時点で立派に友人だと思うのだが、まあ、それは言わないでおこう。,,,,,
24,星野心の声,主には彼女の矜持を守るために。,,,,,
25,星野,「でも、こんなでっかいの邪魔だから、少しでももらってくれると助かるんだけど」,,,,,
25,進藤,「嫌よ。だいたい、なんで邪魔になるのよ？」,,,,,
